HALO WIND TUNNEL TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run matrix for UAV testing.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HALO Test Information,,,,,Exterior Noise Source Info,,UAV Information,,,,,,,,,,,,,,,,,,
Run #,Run Name,"HALO 
Sequence","Flow Speed
(k/hr)","Turbulence Plate
Installed?",HALO Test Attributes,"Duration 
[s]",Sound Source Tone,Active Point Source Location,"Hover or 
Traversing Flight",Traverse Speed [m/s],Number of UAVs,"UAV 1
Active?",UAV 1 Location / Path,UAV 1 Altitude,"UAV 2
Active?",UAV 2 Location,UAV 2 Altitude,"UAV 3
Active?",UAV 3 Location,UAV 3 Altitude,"UAV 4
Active?",UAV 4 Location,UAV 4 Altitude,"UAV 5
Active?",UAV 5 Location,UAV 5 Altitude,Notes / Configurations
1,1Max-H-Pt5-Alt1-SS,1,0,No,Arrays & Press,30,Tone,1,H,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),1,No,,,No,,,No,,,No,,,
2,1Max-H-Pt5-Alt2-SS,1,0,No,Arrays & Press,30,Tone,1,H,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,0,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Chirp,1,,,1,Yes,(2 2),2,No,,,No,,,No,,,No,,,
